dateTimeOfIncident,department,descriptionOfIncident,emergencyServiceName,employee_id,execSummary,formAdminNotes,hazardNature,incident_id,initialResponseTaken,injuryOrIllness,injuryOrIllnessOther,isArchived,location,practitionerName,rejectionReason,reportType,reportedBy,safetyTeamComments,safetyTeamReviewStatus
2024-01-29,Incident Management,"Psychosocial incident in Incident Management, severity moderate.",,10001,"Incident at Office on 2024-01-29 reported by Self, severity moderate.",Sent acknowledgement email.,Psychosocial,798941,,,,False,Office,,,Incident,Self,Assigned to safety team for review.,Pending
2024-04-05,Incident Management,"Psychosocial environmental in Incident Management, severity moderate.",,10003,"Environmental at Office on 2024-04-05 reported by Self, severity moderate.",Escalated to safety manager.,Psychosocial,831754,,,,False,Office,,,Environmental,Self,Awaiting further info.,Pending
2024-09-11,Incident Management,"Physical incident in Incident Management, severity moderate.",,10006,"Incident at Office on 2024-09-11 reported by Self, severity moderate.",Notified HR department.,Physical,446778,First aid administered,Other,Other injury noted.,False,Office,,,Incident,Self,No further action required.,Pending
2024-10-15,Technology Solutions & Support,"Physical incident in Technology Solutions & Support, severity moderate.",,10013,"Incident at Office on 2024-10-15 reported by Supervisor, severity moderate.",Corrected typo in description.,Physical,968439,First aid administered,Fracture,,True,Office,,,Incident,Supervisor,Investigation in progress.,Closed
2024-05-19,Cyber Risk & Strategy,"Physical incident in Cyber Risk & Strategy, severity moderate.",000,10014,"Incident at Office on 2024-05-19 reported by Self, severity moderate.",Validated employee ID.,Physical,318694,Emergency services called (000),Sprain / Strain,,False,Office,,,Incident,Self,Investigation in progress.,Closed
2024-11-12,Cyber Risk & Strategy,"Psychosocial environmental in Cyber Risk & Strategy, severity moderate.",,10038,"Environmental at Office on 2024-11-12 reported by Self, severity moderate.",Flagged for audit trail.,Psychosocial,678536,,,,False,Office,,,Environmental,Self,Awaiting further info.,Pending
2024-08-08,Incident Management,"Psychosocial incident in Incident Management, severity moderate.",,10043,"Incident at Office on 2024-08-08 reported by Self, severity moderate.",Flagged for audit trail.,Psychosocial,847480,,,,False,Office,,Late submission,Incident,Self,Investigation in progress.,Rejected
2024-09-01,Incident Management,"Psychosocial unsafe condition in Incident Management, severity moderate.",,10044,"Unsafe Condition at Office on 2024-09-01 reported by Self, severity moderate.",Generated compliance report.,Psychosocial,251253,,,,False,Office,,,Unsafe Condition,Self,Awaiting further info.,Pending
2024-12-09,Incident Management,"Psychosocial unsafe condition in Incident Management, severity moderate.",,10061,"Unsafe Condition at Office on 2024-12-09 reported by Self, severity moderate.",Checked form completeness.,Psychosocial,924975,,,,False,Office,,Anonymous report,Unsafe Condition,Self,Assigned to safety team for review.,Rejected
2024-07-25,Cyber Risk & Strategy,"Physical unsafe condition in Cyber Risk & Strategy, severity moderate.",,10072,"Unsafe Condition at Office on 2024-07-25 reported by Self, severity moderate.",Follow‑up scheduled.,Physical,904902,Medical practitioner notified,Burn,,True,Office,Dr. Ahmed,,Unsafe Condition,Self,Assigned to safety team for review.,Closed
2024-01-30,Incident Management,"Psychosocial hazard in Incident Management, severity moderate.",,10081,"Hazard at Office on 2024-01-30 reported by Self, severity moderate.",Updated status to pending.,Psychosocial,199798,,,,False,Office,,,Hazard,Self,No further action required.,Closed
2024-06-07,Incident Management,"Psychosocial near miss in Incident Management, severity moderate.",,10083,"Near Miss at Office on 2024-06-07 reported by Self, severity moderate.",Validated employee ID.,Psychosocial,209748,,,,True,Office,,,Near Miss,Self,No further action required.,Closed
2024-06-19,Cyber Risk & Strategy,"Physical near miss in Cyber Risk & Strategy, severity moderate.",,10084,"Near Miss at Office on 2024-06-19 reported by Self, severity moderate.",Marked as high priority.,Physical,595840,Medical practitioner notified,Laceration,,False,Office,Dr. Lee,,Near Miss,Self,Awaiting further info.,Pending
2024-06-20,Data & Information Security,"Physical unsafe condition in Data & Information Security, severity moderate.",,10085,"Unsafe Condition at Office on 2024-06-20 reported by Self, severity moderate.",Assigned incident number.,Physical,896729,First aid administered,Illness / Gastrointestinal,,False,Office,,,Unsafe Condition,Self,Investigation in progress.,Closed
2024-10-02,Cyber Risk & Strategy,"Physical unsafe condition in Cyber Risk & Strategy, severity moderate.",,10088,"Unsafe Condition at Office on 2024-10-02 reported by Self, severity moderate.",Notified HR department.,Physical,773332,Medical practitioner notified,Burn,,False,Office,Dr. Rodriguez,,Unsafe Condition,Self,Assigned to safety team for review.,Pending
2024-01-15,Incident Management,"Psychosocial incident in Incident Management, severity moderate.",,10091,"Incident at Office on 2024-01-15 reported by Self, severity moderate.",Requested additional details.,Psychosocial,306713,,,,False,Office,,,Incident,Self,Investigation in progress.,Closed
2024-03-03,Incident Management,"Physical near miss in Incident Management, severity moderate.",,10092,"Near Miss at Office on 2024-03-03 reported by Self, severity moderate.",Marked as high priority.,Physical,118787,No action required,Burn,,False,Office,,,Near Miss,Self,Investigation in progress.,Pending
2024-09-16,Data & Information Security,"Physical incident in Data & Information Security, severity moderate.",,10096,"Incident at Office on 2024-09-16 reported by Self, severity moderate.",Escalated to safety manager.,Physical,186965,No action required,Chemical / Biological Exposure,,False,Office,,,Incident,Self,Investigation in progress.,Pending
2024-10-25,Cyber Risk & Strategy,"Physical near miss in Cyber Risk & Strategy, severity moderate.",,10102,"Near Miss at Office on 2024-10-25 reported by Self, severity moderate.",Data entry verified.,Physical,918591,No action required,Sprain / Strain,,False,Office,,,Near Miss,Self,Awaiting further info.,Closed
2024-05-30,Incident Management,"Psychosocial unsafe condition in Incident Management, severity moderate.",,10103,"Unsafe Condition at Office on 2024-05-30 reported by Self, severity moderate.",Scheduled review meeting.,Psychosocial,756212,,,,False,Office,,,Unsafe Condition,Self,Assigned to safety team for review.,Closed
2024-07-01,Data & Information Security,"Psychosocial near miss in Data & Information Security, severity moderate.",,10105,"Near Miss at Office on 2024-07-01 reported by Self, severity moderate.",Data entry verified.,Psychosocial,939881,,,,False,Office,,,Near Miss,Self,No further action required.,Closed
2024-11-08,Cyber Risk & Strategy,"Physical hazard in Cyber Risk & Strategy, severity moderate.",000,10109,"Hazard at Office on 2024-11-08 reported by Self, severity moderate.",Flagged for audit trail.,Physical,469530,Emergency services called (000),Fracture,,False,Office,,,Hazard,Self,Assigned to safety team for review.,Closed
